Language ID,Language Name,Alternate Names,Keywords for Communities Where Language is Spoken,BCP 47 Language Code
"f3b083e8-2a05-46ae-a24e-1c07b76ee140","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke","SENĆOŦEN, Malchosen, Lekwungen, Semiahmoo, TʼSou-ke, Straits Salish, Northern Straits Salish, Saanich, Tah-tu-lo, Sooke, Songhees","BOḰEĆEN, Pauquachin, MÁLEXEȽ, Malahat, Scia’new, Beecher Bay, SEMYOME, Semiahmoo, Songhees, SȾÁUTW̱, Tsaout, SXIMEȽEȽ, Esquimalt, T’Sou-ke, W̱JOȽEȽP, Tsartlip, W̱SIḴEM, Tseycum, Victoria","str"
"3d681864-5bf1-4504-b8c8-f0dd1a125db6","Sgüüx̱s","Southern Tsimshian, Klemtu, Ski:xs, Sgüüx̣s","Kitasoo, Xai’xais, Klemtu","tsi-sou"
"6f884547-8477-4053-989c-efae952f4a2a","she shashishalhem","sháshishálem, Sechelt","shíshálh, Sechelt","sec"
"e8c9632f-3efc-4122-95c4-0546787a32de","Sḵwx̱wú7mesh sníchim","Squamish","Squamish, North Vancouver, West Vancouver","squ"
"60a9b872-5d3f-4043-94f9-9b6a751962de","Sm'algya̱x","Tsimshian, Coast Tsimshian","Gitga’at, Gitxaala, Kitselas, Kitsumkalum, Lax Kw’alaams, Metlakatla, Terrace, Prince Rupert","tsi"
"1a7422e1-ef3a-4703-b496-cba9f518319f","Southern Tutchone","Tutchone","Champagne, Aishihik, CAFN","tce"
"339667a3-2ab5-4755-824d-fc3af5e25466","St̓át̓imcets","Sƛ̓aƛ̓imxǝc, Ucwalmícwts, Lillooet, St̓át̓imc, Statimc, Stlʼatlʼimx, Stlʼatlʼimc, Sƛʼaƛʼimxǝc, Stlatliumh, Slatlemuk","Líl’wat, N’Quatqua, Samahquam, Sekw’el’was, Cayoose Creek Band, Skatin, T’it’q’et, Ts’kw’aylaxw, Tsal’alh, Seton Lake Band, Xa’xtsa, Douglas, Xaxli’p, Xwísten, Bridge River","lil"
"b7737adf-a4fd-4e51-8761-e2ce8475241a","Tāłtān","Tahltan, Didene kʼeh, Nahanni","Iskut, Tahltan, Dease Lake","tht"
"d6d9b710-7eba-45ee-9f0e-8be0ba9a7839","Tseʼkhene","Sekani, Tsekʼene, Tsekʼehne, Sékanais","Kwadacha, McLeod Lake, Tsay Keh Dene","sek"
"28c65b28-76a1-4c4c-bc5e-a68132665f53","Tsilhqotʼin","Chilcotin, Tsilhqutʼin, Tzilkotin","ʔEsdilagh, Tl’esqox, Tl’etinqox, Tsi Deldel, Ulkatcho, Xeni Gwet’in, Yunesit’in, Williams Lake","clc"
"85456672-bd77-45fe-85c7-2bfafc96d614","ʼWuik̓ala","Oowekyala, Wuikyala, ʼUik̓ala, Oweekʼala, Owekeeno, Owekeno","Wuikinuxv, Rivers Inlet","hei-wui"
"dc627134-c230-448c-a566-ca25350cd69a","X̱aad Kil / X̱aayda Kil","Haida","Old Massett, Skidegate","hai"
"f787aeb4-0d42-43e3-ab27-1b884bd63b5a","X̄enaksialak̓ala / X̄aʼislak̓ala","Haisla, Kitimat, Kitlope, Northern Kwakiutl","Haisla, Kitimat","has"
