Site ID,Slug,FirstVoices Site Name,URL,Language Name,Language ID
"19e8e40f-0edd-4156-bc2c-d2346e87a2bd","pafnw-anihsinapemowin","PAFNW Anihšināpēmowin","https://firstvoices.com/pafnw-anihsinapemowin","Anishinaabemowin","4c758cae-f50e-44bf-a537-b31fcc60d651"
"47baf338-68a7-4cdf-94a4-d5525601a1b9","pafnw-nehiyawewin","PAFNW nêhiyawêwin ᓀᐦᐃᔭᐁᐧᐃᐧᐣ","https://firstvoices.com/pafnw-nehiyawewin","nēhiyawēwin","2326173d-9d94-4fc0-808d-c81736d317e6"
"2c1b2a4c-859f-44fb-9efd-3917bb706b4b","penelakut-hulquminum","Penelakut Hul'q'umi'num'","https://firstvoices.com/penelakut-hulquminum","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓","63f63bde-eea3-41cd-9ad6-490be56ff022"
"8088f49e-7861-48cf-8e35-cc63eb002f24","saikuz-dakelh","Saik'uz Dakelh","https://firstvoices.com/saikuz-dakelh","Dakelh","e402aedd-d1af-46f0-b182-94d1eb1dd912"
"3e94a804-d73d-4e1b-a833-dd51b4118890","secwepemc","Secwepemc","https://firstvoices.com/secwepemc","Secwepemctsín","3352688c-b9a7-4db0-96c4-ec70f4c07b30"
"32eb9cab-008b-4030-bb50-91bddeb5b1cd","secwepemctsin-eastern","Secwepemctsin (Eastern Dialect)","https://firstvoices.com/secwepemctsin-eastern","Secwepemctsín","3352688c-b9a7-4db0-96c4-ec70f4c07b30"
"712b47a3-729b-4560-acfd-c00f8c82e6bb","sencoten","SENĆOŦEN","https://firstvoices.com/sencoten","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke","f3b083e8-2a05-46ae-a24e-1c07b76ee140"
"d16ad19e-e404-4f9c-bc6d-b384b003a650","sguuxs","Sgüüx̱s","https://firstvoices.com/sguuxs","Sgüüx̱s","3d681864-5bf1-4504-b8c8-f0dd1a125db6"
"838d45c3-81d7-49ca-a804-e828eb9ef637","she-shashishalhem","she shashishalhem","https://firstvoices.com/she-shashishalhem","she shashishalhem","6f884547-8477-4053-989c-efae952f4a2a"
"b7f1ccc9-d0cb-4a05-b67a-6ad2c44bbea4","smalgyax","Sm'algya̱x","https://firstvoices.com/smalgyax","Sm'algya̱x","60a9b872-5d3f-4043-94f9-9b6a751962de"
"056dcd1c-aa34-4c3d-aba2-4e3537a56739","smalgyax-kitsumkalum","kitsumkalum sm'algyax","https://firstvoices.com/smalgyax-kitsumkalum","Sm'algya̱x","60a9b872-5d3f-4043-94f9-9b6a751962de"
"34d9c31a-bfc9-44e3-8bc1-7f64c86085d8","smalgyax-metlakatla","Metlakatla Sm'algyax","https://firstvoices.com/smalgyax-metlakatla","Sm'algya̱x","60a9b872-5d3f-4043-94f9-9b6a751962de"
"69b0a143-f8ce-4088-a7b0-24dddf0385db","snuneymuxw","Snuneymuxw First Nation","https://firstvoices.com/snuneymuxw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓","63f63bde-eea3-41cd-9ad6-490be56ff022"
"e517487f-1f79-4eb2-94b6-e2a65774eb1b","southern-tutchone","dän k'e (Southern Tutchone)","https://firstvoices.com/southern-tutchone","Southern Tutchone","1a7422e1-ef3a-4703-b496-cba9f518319f"
"9ed93578-ce4e-4300-9c0a-16702a1d1e20","splatsin","Splatsin (Eastern dialect)","https://firstvoices.com/splatsin","Secwepemctsín","3352688c-b9a7-4db0-96c4-ec70f4c07b30"
"4ba7dcde-ecbd-40cc-bfc3-6e81b5f6a518","squamish","Sḵwx̱wú7mesh","https://firstvoices.com/squamish","Sḵwx̱wú7mesh sníchim","e8c9632f-3efc-4122-95c4-0546787a32de"
"8e8db592-adb4-4096-874e-b46640c81df9","stzuminus","Stz’uminus","https://firstvoices.com/stzuminus","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓","63f63bde-eea3-41cd-9ad6-490be56ff022"
"f5159cff-0383-42b4-bf17-a4d8f7d24b72","syilx","Syilx","https://firstvoices.com/syilx","Nsyilxcən","e6c8f8d2-29e1-4917-a077-a3408a07ae11"
"7e2a8c54-28fb-4164-8d97-27d6c3cc170a","tahltan","Tāłtān","https://firstvoices.com/tahltan","Tāłtān","b7737adf-a4fd-4e51-8761-e2ce8475241a"
"c0e0fe06-00f4-4a23-a270-1b24639e7711","tillicumlelum","Tillicum Lelum","https://firstvoices.com/tillicumlelum","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓","63f63bde-eea3-41cd-9ad6-490be56ff022"
"4f96da7c-94d0-4f7b-9b7b-48f42f175232","tlaamin","Sliammon","https://firstvoices.com/tlaamin","Éy7á7juuthem","920f3d1e-2673-4a29-b59e-3d191ca1bccb"
"55a3e843-af07-49fc-96e4-bbdf64484d1d","tla-o-qui-aht","ƛaʔuukʷiʔatḥ","https://firstvoices.com/tla-o-qui-aht","nuučaan̓uł","05991650-531f-4880-a441-124c523cb934"
"def11e6d-3119-4423-801b-7efb0bbd7291","tlaoquiaht-ciqyakquukin","ƛaʔuukʷiʔatḥ ciqyakquukin","https://firstvoices.com/tlaoquiaht-ciqyakquukin","nuučaan̓uł","05991650-531f-4880-a441-124c523cb934"
"b7f1700a-ad81-4861-bb08-db82c43af72e","tlazten-dakelh","Tl'azt'en-ne Bughuni","https://firstvoices.com/tlazten-dakelh","Dakelh","e402aedd-d1af-46f0-b182-94d1eb1dd912"
"1a56cfbf-576c-4f33-9ab6-9bee5389c316","tsaa-dane-beaver","Tsaaʔ Dane - Beaver People","https://firstvoices.com/tsaa-dane-beaver","Dane-Ẕaa","65139e5d-033e-43f8-81bb-1dc76e7f1245"
"68a19ca9-b4a4-4ace-9f88-842636530089","tsekhene-mcleod","Tse'Khene (McLeod Lake)","https://firstvoices.com/tsekhene-mcleod","Tseʼkhene","d6d9b710-7eba-45ee-9f0e-8be0ba9a7839"
"bc78241e-51b9-44a6-92ed-c0333952bc1f","tseshahtlanguage","c̕išaaʔatḥ","https://firstvoices.com/tseshahtlanguage","nuučaan̓uł","05991650-531f-4880-a441-124c523cb934"
"69c429c3-16b5-43c2-8161-c13b0f6be271","tsilhqotin-xeni-gwetin","Tsilhqot'in (Xeni Gwet'in)","https://firstvoices.com/tsilhqotin-xeni-gwetin","Tsilhqotʼin","28c65b28-76a1-4c4c-bc5e-a68132665f53"
"94febd9e-712a-4883-aefa-809308954984","witsuwiten","Witsuwit’en","https://firstvoices.com/witsuwiten","Nedutʼen / Witsuwitʼen","3d9552da-a28e-4f24-b98b-c9c155c990bf"
"8a9c43b4-30af-4ae4-aa70-e7235d8f3f27","wuikala","’Wùik̓ala","https://firstvoices.com/wuikala","ʼWuik̓ala","85456672-bd77-45fe-85c7-2bfafc96d614"
"40290813-6981-46ab-9e46-e28247dfc8ae","xaad-kil-massett","x̱aad kil (Massett Haida)","https://firstvoices.com/xaad-kil-massett","X̱aad Kil / X̱aayda Kil","dc627134-c230-448c-a566-ca25350cd69a"
"f9b24535-94cb-46c4-bbd1-7615d4c92510","yekooche","Yekooche","https://firstvoices.com/yekooche","Dakelh","e402aedd-d1af-46f0-b182-94d1eb1dd912"
