pair,count
za,1162
k̓w,1155
l-,1155
LE,1148
do,1147
dᶻ,1136
m.,1136
hd,1129
w-,1128
-i,1127
",s",1126
hc,1125
q',1123
t-,1118
zi,1109
ši,1107
-k,1105
h-,1105
tá,1105
ax̌,1102
ag̱,1099
ɛt,1097
mí,1094
n-,1093
gə,1085
ko,1085
əx,1079
yt,1070
ez,1064
io,1058
tg,1058
oy,1057
nm,1053
EṈ,1051
hs,1042
n',1039
mb,1038
sá,1031
ir,1030
n̓a,1029
ás,1029
lé,1027
pl,1026
-á,1024
c̓a,1022
tł,1020
c̓i,1018
-s,1017
hw,1012
hn,1011
ká,1003
ís,1001
q̓a,1000
g̱a̱,998
ro,995
p',992
h’,991
ay̓,986
ȻE,985
ʔe,983
iy̓,981
i-,979
kh,979
e7,978
t̓ᶿ,978
t̓a,974
ct,971
az,966
",c",964
ḵw,961
sa̱,959
ła̱,959
q̓ʷ,958
má,957
TE,954
ea,954
pt,942
’o,938
cl,935
a̱',924
ní,923
uł,920
or,919
u',919
dh,917
lq,914
"r,",914
yɛ,913
ub,908
lí,904
aḥ,901
ám,901
mə,899
tm,899
cu,895
lm,894
q̓w,893
łi,889
əx̌,887
ék,884
ib,882
ju,882
áy,882
xu,881
á:,878
ʷu,878
-u,872
'é,870
ET,870
an̓,866
əq,865
ɛn,865
xd,861
ák,861
čɛ,860
va,859
w.,859
'a̱,856
tr,856
xt,854
sú,850
w̓i,850
NE,849
sʔ,847
'á,846
k.,842
x̱a,837
ou,836
ia,835
sé,835
mé,832
aj,831
e’,824
x̌ʷ,819
g̱o,810
w̓a,809
zu,808
da̱,807
nx,805
7e,804
ES,801
a?,799
c̓ə,799
SE,798
čx,798
ac̓,796
és,796
p̓a,791
kn,789
ʕa,787
éh,785
m̓a,784
ič,781
"l,",780
lʼ,779
l.,778
tw,776
wo,773
xi,773
x̌s,773
tc,771
lp,764
l’,764
ɛm,764
hí,763
",b",762
u.,760
s7,757
**,756
al̓,752
oɬ,751
hg,748
ḥa,746
ox,745
u-,742
-e,741
tí,740
t̕s,739
ak̓,738
-n,737
iz,735
áw,732
ys,731
-í,729
co,728
ly,728
ƛi,728
ie,727
ve,727
éy,725
q̓ə,720
"d,",718
nú,718
mk,708
7s,707
oc,705
sk̓,703
wn,702
ru,701
tq,701
ḵ’,700
"y,",699
ík,691
..,687
gʷ,686
mx,685
də,684
mn,680
əp,679
kv,678
sy,678
po,674
ss,674
áh,674
"k,",673
ʔs,672
aw̓,671
kʼ,669
x̌v,669
ó:,668
am̓,667
bo,667
gv,667
nʼ,666
a̱s,664
nn,664
n̓i,663
ƛə,662
x̌a,661
yé,661
i7,660
:t,657
aǂ,656
ón,656
lə,654
t̲s̲,654
mɛ,653
"g,",652
gg,652
a·,648
in̓,648
ép,648
'k,647
xv,647
xʔ,646
i’,643
łə,640
-l,638
wm,634
sq̓,632
nw,629
",p",628
k̓ə,628
-m,625
t̓ə,625
",t",623
hú,623
sg̱,622
ək,621
yá,619
łu,618
"a,",615
kə,615
s?,612
k̓u,609
je,608
ao,603
-g,602
ux̱,602
ča,601
y-,600
aq̓,599
ml,598
qƛ,596
l̓a,594
ʔ‿,594
ʷs,594
y.,593
hə,588
p̓i,588
əł,588
pə,587
w7,585
ím,585
k̓i,584
m',583
mc,583
n:,583
ǧə,582
ǧʷ,578
",h",577
kw̕,569
n?,569
